Scope	ID	Key	Value
pept	gene:16987	PKO-r	0.641208325
pept	gene:17025	PKO-c	unaf
pept	gene:17025	PKO-r	1
pept	gene:170441	PKO-c	unaf
pept	gene:170441	PKO-r	1
pept	gene:170718	PKO-c	unaf
pept	gene:170718	PKO-r	1
pept	gene:171429	PKO-c	unaf
pept	gene:171429	PKO-r	1
pept	gene:171567	PKO-c	unaf
pept	gene:171567	PKO-r	1
pept	gene:17161	PKO-c	unaf
pept	gene:17161	PKO-r	1
pept	gene:17254	PKO-c	unaf
pept	gene:17254	PKO-r	1
pept	gene:17436	PKO-c	unaf
pept	gene:17436	PKO-r	1
pept	gene:17448	PKO-c	unaf
pept	gene:17448	PKO-r	1
pept	gene:17449	PKO-c	unaf
pept	gene:17449	PKO-r	1
pept	gene:17523	PKO-c	unaf
pept	gene:17523	PKO-r	1
pept	gene:17768	PKO-c	unaf
pept	gene:17768	PKO-r	1
pept	gene:17769	PKO-c	unaf
pept	gene:17769	PKO-r	1
pept	gene:17850	PKO-c	unaf
pept	gene:17850	PKO-r	1
pept	gene:17855	PKO-c	impa
pept	gene:17855	PKO-r	0.641208325
pept	gene:17969	PKO-c	unaf
pept	gene:17969	PKO-r	1
pept	gene:17970	PKO-c	unaf
pept	gene:17970	PKO-r	1
pept	gene:17972	PKO-c	unaf
pept	gene:17972	PKO-r	1
pept	gene:18010	PKO-c	unaf
pept	gene:18010	PKO-r	1
pept	gene:18102	PKO-c	unaf
pept	gene:18102	PKO-r	1
pept	gene:18103	PKO-c	unaf
pept	gene:18103	PKO-r	1
pept	gene:18113	PKO-c	unaf
pept	gene:18113	PKO-r	1
pept	gene:18125	PKO-c	unaf
pept	gene:18125	PKO-r	1
pept	gene:18126	PKO-c	unaf
pept	gene:18126	PKO-r	1
pept	gene:18127	PKO-c	unaf
pept	gene:18127	PKO-r	1
pept	gene:18194	PKO-c	impa
pept	gene:18194	PKO-r	0.641208325
pept	gene:18242	PKO-c	unaf
pept	gene:18242	PKO-r	1
pept	gene:18263	PKO-c	unaf
pept	gene:18263	PKO-r	1
pept	gene:18293	PKO-c	unaf
pept	gene:18293	PKO-r	1
pept	gene:18408	PKO-c	unaf
pept	gene:18408	PKO-r	1
pept	gene:18472	PKO-c	unaf
pept	gene:18472	PKO-r	1
pept	gene:18475	PKO-c	unaf
pept	gene:18475	PKO-r	1
pept	gene:18476	PKO-c	unaf
pept	gene:18476	PKO-r	1
pept	gene:18477	PKO-c	unaf
pept	gene:18477	PKO-r	1
pept	gene:18478	PKO-c	unaf
pept	gene:18478	PKO-r	1
pept	gene:18563	PKO-c	unaf
pept	gene:18563	PKO-r	1
pept	gene:18597	PKO-c	unaf
pept	gene:18597	PKO-r	1
pept	gene:18598	PKO-c	unaf
pept	gene:18598	PKO-r	1
pept	gene:18618	PKO-c	unaf
pept	gene:18618	PKO-r	1
pept	gene:18641	PKO-c	unaf
pept	gene:18641	PKO-r	1
pept	gene:18642	PKO-c	unaf
pept	gene:18642	PKO-r	1
pept	gene:18648	PKO-c	unaf
pept	gene:18648	PKO-r	1
pept	gene:18655	PKO-c	unaf
pept	gene:18655	PKO-r	1
pept	gene:18663	PKO-c	unaf
pept	gene:18663	PKO-r	1
pept	gene:18706	PKO-c	unaf
pept	gene:18706	PKO-r	1
pept	gene:18707	PKO-c	unaf
pept	gene:18707	PKO-r	1
pept	gene:18708	PKO-c	unaf
pept	gene:18708	PKO-r	1
pept	gene:18709	PKO-c	unaf
pept	gene:18709	PKO-r	1
pept	gene:18710	PKO-c	unaf
pept	gene:18710	PKO-r	1
pept	gene:18711	PKO-c	unaf
pept	gene:18711	PKO-r	1
pept	gene:18717	PKO-c	unaf
pept	gene:18717	PKO-r	1
pept	gene:18718	PKO-c	unaf
pept	gene:18718	PKO-r	1
pept	gene:18719	PKO-c	unaf
pept	gene:18719	PKO-r	1
pept	gene:18720	PKO-c	unaf
pept	gene:18720	PKO-r	1
pept	gene:18746	PKO-c	unaf
pept	gene:18746	PKO-r	1
pept	gene:18770	PKO-c	unaf
pept	gene:18770	PKO-r	1
pept	gene:18783	PKO-c	unaf
pept	gene:18783	PKO-r	1
pept	gene:18795	PKO-c	unaf
pept	gene:18795	PKO-r	1
pept	gene:18796	PKO-c	unaf
pept	gene:18796	PKO-r	1
pept	gene:18797	PKO-c	unaf
pept	gene:18797	PKO-r	1
pept	gene:18798	PKO-c	unaf
pept	gene:18798	PKO-r	1
pept	gene:18799	PKO-c	unaf
pept	gene:18799	PKO-r	1
pept	gene:18802	PKO-c	unaf
pept	gene:18802	PKO-r	1
pept	gene:18803	PKO-c	unaf
pept	gene:18803	PKO-r	1
pept	gene:18805	PKO-c	unaf
pept	gene:18805	PKO-r	1
pept	gene:18948	PKO-c	unaf
pept	gene:18948	PKO-r	1
pept	gene:18950	PKO-c	unaf
pept	gene:18950	PKO-r	1
pept	gene:19025	PKO-c	unaf
pept	gene:19025	PKO-r	1
pept	gene:19044	PKO-c	unaf
pept	gene:19044	PKO-r	1
pept	gene:19125	PKO-c	unaf
pept	gene:19125	PKO-r	1
pept	gene:19139	PKO-c	unaf
pept	gene:19139	PKO-r	1
pept	gene:19193	PKO-c	unaf
pept	gene:19193	PKO-r	1
pept	gene:19210	PKO-c	unaf
pept	gene:19210	PKO-r	1
pept	gene:19211	PKO-c	unaf
pept	gene:19211	PKO-r	1
pept	gene:192156	PKO-c	impa
pept	gene:192156	PKO-r	0.641208325
pept	gene:192166	PKO-c	unaf
pept	gene:192166	PKO-r	1
pept	gene:192185	PKO-c	unaf
pept	gene:192185	PKO-r	1
pept	gene:19378	PKO-c	unaf
pept	gene:19378	PKO-r	1
pept	gene:19895	PKO-c	leth
pept	gene:19895	PKO-r	0
pept	gene:20133	PKO-c	leth
pept	gene:20133	PKO-r	0
pept	gene:20135	PKO-c	leth
pept	gene:20135	PKO-r	0
pept	gene:20249	PKO-c	impa
pept	gene:20249	PKO-r	0.641208325
pept	gene:20322	PKO-c	unaf
pept	gene:20322	PKO-r	1
pept	gene:20397	PKO-c	impa
